game_name,link,genres,release_year,number_of_reviews_from_purchased_people,game_avg_hrs_played,overall_player_rating,game_id
Plague Inc: Evolved,https://store.steampowered.com/app/246620/Plague_Inc_Evolved?snr=1_category_4_simulation_100727,strategy simulation outbreak_sim indie singleplayer multiplayer zombies casual tactical replay_value post-apocalyptic addictive realistic 2d difficult atmospheric co-op sandbox early_access survival,2016,46662.0,42.769568690095845,Very Positive,136
FINAL FANTASY VII REMAKE INTERGRADE,https://store.steampowered.com/app/1462040/FINAL_FANTASY_VII_REMAKE_INTERGRADE?snr=1_category_4_adventure_salebrowseall,rpg action_rpg jrpg action-adventure singleplayer party-based_rpg spectacle_fighter third_person action controller adventure 3d fantasy 3d_platformer magic story_rich realistic cinematic drama sci-fi,2022,24837.0,55.40347374725494,Very Positive,64
Total War: THREE KINGDOMS,https://store.steampowered.com/app/779340/Total_War_THREE_KINGDOMS?snr=1_category_4_strategy_salebrowseall,strategy historical war turn-based_strategy grand_strategy rts military multiplayer tactical singleplayer real_time_tactics action turn-based great_soundtrack co-op simulation sandbox violent fantasy destruction,2019,57730.0,277.08404871231784,Very Positive,194
Inscryption,https://store.steampowered.com/app/1092790/Inscryption?snr=1_category_4_strategy_salebrowseall,card_battler card_game story_rich deckbuilding horror dark puzzle strategy roguelite psychological roguelike surreal experimental first-person point_&_click 3d 2d fmv pixel_graphics adventure,2021,109837.0,39.9063872255489,Overwhelmingly Positive,91
7 Days to Die,https://store.steampowered.com/app/251570/7_Days_to_Die?snr=1_category_4_simulation_100726,survival zombies multiplayer open_world open_world_survival_craft base_building voxel post-apocalyptic online_co-op building exploration sandbox fps simulation character_customization strategy tower_defense action procedural_generation horror,2024,231932.0,937.9966061090038,Very Positive,1
Plants vs. Zombies GOTY Edition,https://store.steampowered.com/app/3590/Plants_vs_Zombies_GOTY_Edition?snr=1_category_4_strategy_100727,tower_defense zombies strategy singleplayer casual classic 2d comedy great_soundtrack family_friendly funny puzzle addictive cute survival indie tactical adventure touch-friendly post-apocalyptic,2009,120413.0,88.63298722044729,Overwhelmingly Positive,137
Total War: ROME II - Emperor Edition,https://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition?snr=1_category_4_strategy_salebrowseall,strategy historical turn-based_strategy grand_strategy rome tactical multiplayer war real_time_tactics rts turn-based singleplayer online_co-op simulation turn-based_tactics co-op moddable action atmospheric education,2013,47817.0,547.236973447794,Very Positive,193
Hades,https://store.steampowered.com/app/1145360/Hades?snr=1_category_4_action_100727,action_roguelike roguelite hack_and_slash indie mythology action roguelike great_soundtrack singleplayer rpg story_rich dungeon_crawler replay_value isometric difficult action_rpg hand-drawn atmospheric perma_death lgbtq+,2020,247249.0,98.0944,Overwhelmingly Positive,86
NBA 2K25,https://store.steampowered.com/app/2878980/NBA_2K25?snr=1_category_4_simulation_salebrowseall,sports basketball simulation esports 3d immersive_sim management pvp character_customization controller deckbuilding team-based trading co-op local_co-op local_multiplayer multiplayer online_co-op singleplayer 4_player_local,2024,4031.0,54.8930608365019,Mixed,123
Portal 2,https://store.steampowered.com/app/620/Portal_2?snr=1_category_4_action_100727,platformer puzzle first-person dark_humor story_rich puzzle_platformer funny female_protagonist 3d_platformer action-adventure action fps co-op physics sci-fi level_editor science comedy atmospheric adventure,2011,335633.0,144.86497299459893,Overwhelmingly Positive,138
